[2026-01-21 14:41:53] [INFO    ] discord.client: logging in using static token
[2026-01-21 14:41:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Gurt', 'primary_guild': None, 'mfa_enabled': False, 'id': '1463367690277224519', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4192', 'clan': None, 'bot': True, 'avatar': '5e86a0ad42bec0082bad0a1ea876da78'}, 'session_type': 'normal', 'session_id': 'bbdf0b7b2106be55d51e8c7ac8ef7c53', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1369566440138739902'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'singapore', 'hongkong', 'japan', 'india'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1463367690277224519', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-9p9v",{"micros":111718,"calls":["id_created",{"micros":574,"calls":[]},"session_lookup_time",{"micros":273,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-10",{"micros":110574,"calls":["start_session",{"micros":77391,"calls":["discord-api-rpc-f85f9c859-mbtwc",{"micros":39793,"calls":["get_user",{"micros":6242},"get_guilds",{"micros":3808},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":648},"apex_experiments",{"micros":29126},"user_activities",{"micros":6},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":14576,"calls":[]},"guilds_started",{"micros":65,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":18470,"calls":[]},"connect_finished",{"micros":18496,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-01-21 14:41:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:41:55] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: bbdf0b7b2106be55d51e8c7ac8ef7c53).
[2026-01-21 14:41:55] [DEBUG   ] discord.client: Dispatching event connect
[2026-01-21 14:41:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_id': '1369566440138739905', 'nsfw_level': 0, 'premium_progress_bar_enabled': False, 'nsfw': False, 'profile': None, 'premium_subscription_count': 0, 'inventory_settings': None, 'verification_level': 0, 'moderator_reporting': None, 'application_id': None, 'owner_configured_content_level': 0, 'preferred_locale': 'en-US', 'large': False, 'incidents_data': None, 'activity_instances': [], 'id': '1369566440138739902', 'name': 'bot test', 'default_message_notifications': 0, 'banner': None, 'premium_tier': 0, 'system_channel_flags': 0, 'public_updates_channel_id': None, 'discovery_splash': None, 'application_command_counts': {}, 'threads': [], 'safety_alerts_channel_id': None, 'latest_onboarding_question_id': None, 'icon': None, 'stickers': [], 'max_members': 25000000, 'member_count': 3, 'premium_features': None, 'description': None, 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE', 'BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE'], 'members': [{'user': {'username': 'Gurt', 'public_flags': 0, 'primary_guild': None, 'id': '1463367690277224519', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4192', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '5e86a0ad42bec0082bad0a1ea876da78'}, 'roles': ['1463370073619173643'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:10:13.715725+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'home_header': None, 'region': 'deprecated', 'mfa_level': 0, 'voice_states': [], 'vanity_url_code': None, 'max_stage_video_channel_users': 50, 'presences': [], 'afk_timeout': 300, 'roles': [{'version': 1768963054641, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1369566440138739902', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1768963071887, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'cunt', 'mentionable': False, 'managed': False, 'id': '1463361894952730766', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1768965013690, 'unicode_emoji': None, 'tags': {'bot_id': '1463367690277224519'}, 'position': 1, 'permissions': '8', 'name': 'Gurt', 'mentionable': False, 'managed': True, 'id': '1463370073619173643', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'owner_id': '1252738494648942604', 'soundboard_sounds': [], 'embedded_activities': [], 'guild_scheduled_events': [], 'joined_at': '2026-01-21T03:10:13.715725+00:00', 'hub_type': None, 'lazy': True, 'rules_channel_id': None, 'afk_channel_id': None, 'stage_instances': [], 'channels': [{'version': 1768963054657, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Text Channels', 'id': '1369566440138739903', 'flags': 0}, {'version': 1768963054668, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Voice Channels', 'id': '1369566440138739904', 'flags': 0}, {'version': 1768963054672, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1369566440138739903', 'nsfw': False, 'name': 'general', 'last_message_id': '1463370074906955857', 'id': '1369566440138739905', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'voice_background_display': None, 'version': 1768963054675, 'user_limit': 0, 'type': 2, 'theme_color': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1369566440138739904', 'nsfw': False, 'name': 'General', 'last_message_id': None, 'id': '1369566440138739906', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1768966507254, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1369566440138739903', 'nsfw': False, 'name': 'greetings', 'last_message_id': '1463377909937995909', 'id': '1463376338231754953', 'flags': 0}], 'max_video_channel_users': 25, 'explicit_content_filter': 0, 'version': 1768963054695, 'splash': None, 'emojis': [], 'unavailable': False}}
[2026-01-21 14:41:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:41:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'bf4afbc98e477e381a2b6779c8386a8d', 'members': [{'user': {'username': 'veryundertoastedbread', 'public_flags': 64, 'primary_guild': None, 'id': '1252738494648942604', 'global_name': "Bread<'_>", 'display_name_styles': None, 'display_name': "Bread<'_>", 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7f3131d63382105be1a6c0062d49336e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T06:48:04.652000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'bot_test', 'public_flags': 0, 'primary_guild': None, 'id': '1463351891172921496', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0101', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:41:21.691915+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Gurt', 'public_flags': 0, 'primary_guild': None, 'id': '1463367690277224519', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4192', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '5e86a0ad42bec0082bad0a1ea876da78'}, 'roles': ['1463370073619173643'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:10:13.715725+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1369566440138739902', 'chunk_index': 0, 'chunk_count': 1}}
[2026-01-21 14:41:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:41:55] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1369566440138739902.
[2026-01-21 14:41:57] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-01-21 14:41:57] [DEBUG   ] discord.client: Dispatching event ready
[2026-01-21 14:42:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_INTEGRATIONS_UPDATE', 's': 4, 'op': 0, 'd': {'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event guild_integrations_update
[2026-01-21 14:42:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTEGRATION_DELETE', 's': 5, 'op': 0, 'd': {'id': '1463377908369326182', 'application_id': '1463351891172921496', 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event raw_integration_delete
[2026-01-21 14:42:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_REMOVE', 's': 6, 'op': 0, 'd': {'user': {'username': 'bot_test', 'public_flags': 0, 'primary_guild': None, 'id': '1463351891172921496', 'global_name': None, 'display_name_styles': None, 'discriminator': '0101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event member_remove
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event raw_member_remove
[2026-01-21 14:42:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_AUDIT_LOG_ENTRY_CREATE', 's': 7, 'op': 0, 'd': {'user_id': '1252738494648942604', 'target_id': '1463377908369326182', 'id': '1463378119514914816', 'changes': [{'old_value': 'discord', 'key': 'type'}, {'old_value': 'bot_test', 'key': 'name'}], 'action_type': 82, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event audit_log_entry_create
[2026-01-21 14:42:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_AUDIT_LOG_ENTRY_CREATE', 's': 8, 'op': 0, 'd': {'user_id': '1252738494648942604', 'target_id': '1463351891172921496', 'id': '1463378119514914818', 'action_type': 20, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:12] [DEBUG   ] discord.client: Dispatching event audit_log_entry_create
[2026-01-21 14:42:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTEGRATION_CREATE', 's': 9, 'op': 0, 'd': {'type': 'discord', 'scopes': ['applications.commands', 'bot'], 'name': 'bot_test', 'id': '1463378167715598502', 'enabled': True, 'application': {'type': None, 'summary': '', 'name': 'bot_test', 'is_verified': False, 'is_monetized': False, 'is_discoverable': False, 'id': '1463351891172921496', 'icon': None, 'description': '', 'bot': {'username': 'bot_test', 'public_flags': 0, 'primary_guild': None, 'id': '1463351891172921496', 'global_name': None, 'display_name_styles': None, 'discriminator': '0101', 'collectibles': None, 'clan': None, 'bot': True, 'banner_color': None, 'banner': None, 'avatar_decoration_data': None, 'avatar': None, 'accent_color': None}}, 'account': {'name': 'bot_test', 'id': '1463351891172921496'}, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event integration_create
[2026-01-21 14:42:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_AUDIT_LOG_ENTRY_CREATE', 's': 10, 'op': 0, 'd': {'user_id': '1252738494648942604', 'target_id': '1463378167715598502', 'id': '1463378167715598503', 'changes': [{'new_value': 'discord', 'key': 'type'}, {'new_value': 'bot_test', 'key': 'name'}], 'action_type': 80, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event audit_log_entry_create
[2026-01-21 14:42:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_ADD', 's': 11, 'op': 0, 'd': {'user': {'username': 'bot_test', 'public_flags': 0, 'primary_guild': None, 'id': '1463351891172921496', 'global_name': None, 'display_name_styles': None, 'discriminator': '0101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:42:23.492304+00:00', 'guild_id': '1369566440138739902', 'flags': 1, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event member_join
[2026-01-21 14:42:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_AUDIT_LOG_ENTRY_CREATE', 's': 12, 'op': 0, 'd': {'user_id': '1252738494648942604', 'target_id': '1463351891172921496', 'id': '1463378167715598505', 'action_type': 28, 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event audit_log_entry_create
[2026-01-21 14:42:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 13, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-21T03:42:23.935000+00:00', 'pinned': False, 'nonce': '16551554376407640447', 'mentions': [{'username': 'bot_test', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:42:23.492304+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1463351891172921496', 'global_name': None, 'display_name_styles': None, 'discriminator': '0101', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1463370073619173643'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-21T03:10:13.715725+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1463378169812750336', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Yo <@1463351891172921496>', 'components': [], 'channel_type': 0, 'channel_id': '1463376338231754953', 'author': {'username': 'Gurt', 'public_flags': 0, 'primary_guild': None, 'id': '1463367690277224519', 'global_name': None, 'display_name_styles': None, 'discriminator': '4192', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '5e86a0ad42bec0082bad0a1ea876da78'}, 'attachments': [], 'guild_id': '1369566440138739902'}}
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-21 14:42:24] [DEBUG   ] discord.client: Dispatching event message
[2026-01-21 14:42:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1463376338231754953/messages with {"content":"Yo <@1463351891172921496>","components":[],"nonce":"16551554376407640447","enforce_nonce":true,"tts":false} has returned 200
[2026-01-21 14:42:24] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2026-01-21 14:42:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1463376338231754953/messages has received {'type': 0, 'content': 'Yo <@1463351891172921496>', 'mentions': [{'id': '1463351891172921496', 'username': 'bot_test', 'avatar': None, 'discriminator': '0101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-01-21T03:42:23.935000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1463378169812750336', 'channel_id': '1463376338231754953', 'author': {'id': '1463367690277224519', 'username': 'Gurt', 'avatar': '5e86a0ad42bec0082bad0a1ea876da78', 'discriminator': '4192', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16551554376407640447'}
[2026-01-21 14:42:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-01-21 14:42:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-21 14:43:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-01-21 14:43:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-21 14:43:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-01-21 14:43:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-21 14:44:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-01-21 14:44:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-21 14:45:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2026-01-21 14:45:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
